"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\separator.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\slider.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\table.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 0, 11, 121
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\tabs.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\textarea.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\ui\typography.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\user\UserSignature.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 0, 6, 103
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\user\UserSignature2.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 5, 73
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\index.css", "CSS", 0, 52, 0, 0, 0, 0, 10, 62
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\lib\calcs.ts", "TypeScript", 0, 0, 41, 0, 0, 1, 22, 64
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\lib\formatter.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\lib\imgur.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\lib\localstorage.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\main.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\Login.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 1, 7, 117
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\auxiliares\JurosCompostos\TabelaJurosCompostos.tsx", "TypeScript JSX", 76, 0, 0, 0, 0, 0, 11, 87
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\auxiliares\JurosCompostos\index.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 4, 100
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoisoladoxavista\Calculator.ts", "TypeScript", 0, 0, 203, 0, 0, 0, 34, 237
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoisoladoxavista\CaseData.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 0, 7, 68
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoisoladoxavista\Conclusion.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 0, 5, 77
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoisoladoxavista\DetailedTable.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoisoladoxavista\index.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 1, 8, 104
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoxavista\Calculator.ts", "TypeScript", 0, 0, 202, 0, 0, 0, 33, 235
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoxavista\CaseData.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 8, 106
